Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point,App Android,App iOS, Assembly District, Congress District,DSNY District, DSNY Section,DSNY Zone,Senate District
Brooklyn,Bay Ridge,4th Avenue Presbyterian Church,"6753 4th Avenue, Brooklyn, NY 11220",4th Avenue Presbyterian Church,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"No meat, bones, or dairy.",,310,47,3012600,,,40.635514,-74.022767,68,40719,POINT (-74.022767 40.635514),,,51,10,BKS10,BKS101,BKS,17
Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,GrowNYC,Year Round,Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM),,grownyc.org/compost,106,4,1009000,,,40.752606,-73.969036,17,40579,POINT (-73.969036 40.752606),,,74,12,MN06,MN063,MN,28
Manhattan,Hell's Kitchen,Hudson River Park's Pier 84 at W. 44th St.,Pier 84 at W. 44th St. near dog park,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,1012901,,,40.76346,-74.00025,18,40547,POINT (-74.00025 40.76346),,,67,12,MN04,MN043,MN,47
Manhattan,East Midtown-Turtle Bay,58th Street Library FSDO,127 East 58th Street,GrowNYC,Year Round,Wednesdays (Start Time: 7:30 AM - End Time:  1:30 PM),,grownyc.org/compost,105,4,1011203,,,40.76198,-73.9693,18,40540,POINT (-73.9693 40.76198),,,73,12,MN05,MN052,MN,28
Manhattan,Tribeca-Civic Center,Tribeca Greenmarket,Greenwich St. & Duane St,GrowNYC,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,grownyc.org/compost,101,1,1003900,,,40.717424,-74.010793,1,40452,POINT (-74.010793 40.717424),,,66,10,MN01,MN013,MN,27
Staten Island,St. George-New Brighton,St. George Greenmarket,St. Marks Pl and Hyatt St,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,snug-harbor.org,501,49,5000300,,,40.641967,-74.077928,120,40412,POINT (-74.077928 40.641967),,,61,11,SI01,SI012,SI,23
Manhattan,Manhattanville-West Harlem,St. Mary's Harlem,"521 W 126th St, New York, NY 10027",GrowNYC,Year Round,Friday (Start Time: 8:30 AM - End Time:  12:30 PM),"No meat, bones, or dairy",stmarysharlem.org,109,7,1021900,,,40.8149687,-73.9560903,26,40397,POINT (-73.9560903 40.8149687),,,70,13,MN09,MN092,MN,30
Brooklyn,Crown Heights (North),1100 Bergen Street Community Garden,"1107 Bergen Street, Brooklyn, NY 11216",Volunteers at 1100 Bergen Street Community Garden,Year Round,Sunday (Start Time: 10:00 AM - End Time:  3:00 PM),,https://bqlt.org/garden/1100-block-bergen-st-community-garden,308,36,3031500,,,40.67629,-73.94925,77,40373,POINT (-73.94925 40.67629),,,56,9,BKN08,BKN082,BKN,20
Brooklyn,Prospect Park,Nurture BK,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",Nurture BK,Year Round,Sunday (Start Time: 9:00 AM - End Time:  11:00 AM),,https://www.instagram.com/nurturebk_compost/,355,39,3017700,,,40.654917,-73.962083,78,40357,POINT (-73.962083 40.654917),,,44,10,,,BKS,20
Brooklyn,Bushwick (West),BK Rot,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",BK Rot,Year Round,Sunday (Start Time: 12:00 PM - End Time:  3:00 PM),,BKrot.org,304,34,3042300,,,40.697694,-73.925806,83,40309,POINT (-73.925806 40.697694),,,53,7,BKN04,BKN041,BKN,18
Brooklyn,Fort Greene,Fort Greene Greenmarket,Washington Park and Myrtle Ave,GrowNYC,Year Round,Saturday (Start Time: 9:00 AM - End Time:  2:00 PM),,grownyc.org/compost,302,35,3003102,,,40.69288,-73.97391,88,40728,POINT (-73.97391 40.69288),,,57,7,BKN02,BKN024,BKN,25
Manhattan,Washington Heights (North),NW Audubon Avenue & West 192nd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,1027700,,,40.85571567,-73.92743781,34,40432,POINT (-73.92743781 40.85571567),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=408,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364100,72,13,MN12,MN123,MN,31
Bronx,Concourse-Concourse Village,NW Gerard Avenue & East 150th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,8,2006301,,,40.81994461,-73.92850801,44,40659,POINT (-73.92850801 40.81994461),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=412,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364104,77,15,BX04,BX041,BX,29
Bronx,Norwood,NE Hull Avenue & East 207th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,207,11,2042902,,,40.87534011,-73.87542714,52,40696,POINT (-73.87542714 40.87534011),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=439,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364131,80,15,BX07,BX073,BX,33
Brooklyn,Bushwick (East),NW Knickerbocker Avenue & Palmetto Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3043300,,,40.69656438,-73.91427923,83,40318,POINT (-73.91427923 40.69656438),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=143,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363835,53,7,BKN04,BKN042,BKN,18
Manhattan,Tribeca-Civic Center,SW of Greenwich St & Harrison ST,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,101,1,1003900,,,40.71878668,-74.01055042,1,40450,POINT (-74.01055042 40.71878668),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=223,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363915,66,10,MN01,MN013,MN,27
Manhattan,SoHo-Little Italy-Hudson Square,SW 6 Ave & Dominick St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,102,1,1003700,,,40.7248741,-74.00472,1,40464,POINT (-74.00472 40.7248741),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=234,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363926,66,10,MN02,MN021,MN,27
Manhattan,Hell's Kitchen,NW 10 Ave & W 43 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,104,3,1012901,,,40.76044172,-73.99506115,18,40548,POINT (-73.99506115 40.76044172),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=337,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364029,67,12,MN04,MN043,MN,47
Brooklyn,Bedford-Stuyvesant (East),NE Lewis Avenue & Bainbridge Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3029700,,,40.68065837,-73.93454969,81,40279,POINT (-73.93454969 40.68065837),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=82,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363774,56,8,BKN03,BKN034,BKN,25
Brooklyn,Bushwick (East),NE Bushwick Avenue & Halsey Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3040100,,,40.6870313,-73.91374111,83,40329,POINT (-73.91374111 40.6870313),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=128,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363820,54,7,BKN04,BKN043,BKN,18
Manhattan,Chelsea-Hudson Yards,SE 7th Avenue & 21st Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,104,3,1008700,,,40.74272368,-73.99655276,13,40563,POINT (-73.99655276 40.74272368),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=326,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364018,75,12,MN04,MN041,MN,28
Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Grace Foundation,460w Brielle Avenue,Grace Foundation,Year Round,Monday (Start Time: 9:00 AM - End Time:  12:00 PM),,graceofny.org,502,50,5018100,5009550100,5000000,40.592723,-74.135113,122,40797,POINT (-74.135113 40.592723),,,63,11,SI02,SI023,SI,24
Queens,Queensbridge-Ravenswood-Dutch Kills,NW Queens Plaza North & 21st Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,4002500,,,40.75290526,-73.94352235,114,40242,POINT (-73.94352235 40.75290526),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=205,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363897,36,7,QW01,QW016,QW,59
Brooklyn,Brownsville,Iso Student Farm,"514 Rockaway Avenue, Brooklyn, NY 11212",Volunteers at Isabahlia LOE Foundation,April - October,Friday and Saturday (Start Time: 9:00 AM - End Time:  1:00 PM),,https://www.isabahlialoefinc.org/,316,41,3092400,,,40.6674207,-73.9102833,73,40709,POINT (-73.9102833 40.6674207),,,55,8,BKN16,BKN162,BKN,25
Brooklyn,Bushwick (East),NW Central Avenue & Green Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3041900,,,40.69608852,-73.92145414,83,40316,POINT (-73.92145414 40.69608852),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=121,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363813,53,7,BKN04,BKN042,BKN,18
Manhattan,Financial District-Battery Park City,NE Broadway & Beaver Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,101,1,1000900,,,40.70507539,-74.01322458,1,40445,POINT (-74.01322458 40.70507539),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=222,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363914,65,10,MN01,MN011,MN,27
Brooklyn,Crown Heights (North),NE Schenectady Avenue & Dean Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,3030900,,,40.67613038,-73.93318009,77,40389,POINT (-73.93318009 40.67613038),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=179,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363871,56,9,BKN08,BKN083,BKN,20
Manhattan,Upper West Side (Central),NW Broadway & W 78 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,107,6,1016700,,,40.78331643,-73.98062197,20,40627,POINT (-73.98062197 40.78331643),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=365,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364057,67,12,MN07,MN072,MN,47
Brooklyn,Bedford-Stuyvesant (East),NW Malcolm X Boulevard & Lafayette Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3028900,,,40.69236338,-73.93096961,81,40274,POINT (-73.93096961 40.69236338),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=104,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363796,56,8,BKN03,BKN034,BKN,25
Queens,Astoria (East)-Woodside (North),SE 38th Street & 31st Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,4015500,,,40.76149921,-73.91796863,114,40215,POINT (-73.91796863 40.76149921),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=141,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363833,36,14,QW01,QW014,QW,12
Bronx,Tremont,SW Bathgate Avenue & East 182 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,2039500,,,40.85323679,-73.89310654,48,40682,POINT (-73.89310654 40.85323679),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=430,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364122,86,15,BX06,BX061,BX,32
Manhattan,Murray Hill-Kips Bay,NW of Lexington Ave & E 38 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,106,4,1008000,,,40.74913401,-73.97793704,17,40580,POINT (-73.97793704 40.74913401),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=277,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363969,73,12,MN06,MN062,MN,28
Manhattan,Upper East Side-Yorkville,SE E 92 St & 2 Ave,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,108,5,1015402,,,40.78160945,-73.94892746,19,40521,POINT (-73.94892746 40.78160945),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=256,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363948,76,12,MN08,MN085,MN,29
Manhattan,East Village,La Plaza Cultural Community Garden,674 East 9th Street,La Plaza Cultural Community Garden,April-November,Saturday and Sunday (Start Time: 2:00 PM - End Time:  4:00 PM),Please carefully read instructions here: https://bit.ly/laplazadropoff,https://bit.ly/laplazadropoff,103,2,1002602,,,40.72534977,-73.97862785,9,40489,POINT (-73.97862785 40.72534977),,,74,10,MN03,MN034,MN,27
Queens,Baisley Park,South Jamaica Infinity Garden,"150-04 115 Dr, Jamaica, NY, 11434",South Jamaica Infinity Garden,May - October,Sun& Weds (Start Time: Sun: 10:30AM - End Time:  Sun: 11:30AM),,,412,28,4027200,,,40.683367,-73.7922279,113,40792,POINT (-73.7922279 40.683367),,,32,5,QE12,QE125,QE,10
Brooklyn,Bushwick (West),SW St. Nicholas Avenue & Stockholm Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3044500,,,40.70496647,-73.91751361,83,40348,POINT (-73.91751361 40.70496647),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=151,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363843,53,7,BKN04,BKN041,BKN,18
Bronx,Fordham Heights,SE Field Place & Morris Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,205,14,2023703,,,40.8591294,-73.90127487,46,40677,POINT (-73.90127487 40.8591294),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=426,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364118,86,13,BX05,BX052,BX,33
Manhattan,Hell's Kitchen,SW 11th Ave & W 57th St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,104,6,1013502,,,40.77023256,-73.99164147,18,40550,POINT (-73.99164147 40.77023256),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=343,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364035,67,12,MN04,MN043,MN,47
Staten Island,West New Brighton-Silver Lake-Grymes Hill,SW Campbell Avenue & Henderson Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,5010500,,,40.63714951,-74.11651209,120,40418,POINT (-74.11651209 40.63714951),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=215,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363907,61,11,SI01,SI013,SI,23
Brooklyn,Bedford-Stuyvesant (East),NW Howard Avenue & Macdonough Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,41,3037700,,,40.68381262,-73.92018981,81,40286,POINT (-73.92018981 40.68381262),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=102,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363794,55,8,BKN03,BKN035,BKN,25
Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,NE E 63 St & 3 Ave,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,108,5,1011000,,,40.76405417,-73.96450973,19,40528,POINT (-73.96450973 40.76405417),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=272,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363964,73,12,MN08,MN081,MN,28
Manhattan,Harlem (South),SE West 118 Street & Lenox Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,1019000,,,40.80317005,-73.94863548,28,40595,POINT (-73.94863548 40.80317005),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=324,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364016,70,13,MN10,MN101,MN,30
Queens,Douglaston-Little Neck,St. Anastasia Roman Catholic Church,246-02 Northern Blvd; Enter the path to the right of the school yard to the student garden,St. Anastasia Roman Catholic Church,Year Round,"Friday and Saturday (Start Time: Friday 8:00 AM, Saturday 12:00 PM - End Time:  Friday 12:00 PM, Saturday 12:30 PM)",,https://www.sta.nyc/,411,19,4150701,,,40.7657836,-73.7408196,111,40787,POINT (-73.7408196 40.7657836),,,26,3,QE11,QE114,QE,11
Staten Island,St. George-New Brighton,NE Layton Avenue & Jersey Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,5000900,,,40.6413779,-74.08640362,120,40413,POINT (-74.08640362 40.6413779),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=212,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363904,61,11,SI01,SI012,SI,23
Brooklyn,Cypress Hills,Cypress Hills Farmstand,"Fulton St, between Logan and Richmond Sts",GrowNYC,Year Round,Friday (Start Time: 10:00 AM - End Time:  1:00 PM),"No meat, bones, or dairy",grownyc.org/compost,305,37,3117800,,,40.68218,-73.87687,75,40741,POINT (-73.87687 40.68218),,,54,7,BKN05,BKN052,BKN,18
Bronx,Pelham Bay-Country Club-City Island,NW Parkview Avenue & Middletown Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,2026602,,,40.84505235,-73.82693077,45,40264,POINT (-73.82693077 40.84505235),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=75,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363767,82,14,BX10,BX101,BX,34
Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,SW West Road & Main Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,108,5,1023802,,,40.76909824,-73.94326508,114,40247,POINT (-73.94326508 40.76909824),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=260,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363952,76,12,MN08,,MN,28
Manhattan,East Harlem (North),SE E 123rd Street & 3rd Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,1019400,,,40.80229054,-73.93677324,25,40655,POINT (-73.93677324 40.80229054),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=398,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364090,68,13,MN11,MN113,MN,30
Brooklyn,Bedford-Stuyvesant (West),NE Bedford Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3024500,,,40.68219458,-73.95365641,79,40297,POINT (-73.95365641 40.68219458),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=94,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363786,57,8,BKN03,BKN032,BKN,25
Brooklyn,Bushwick (East),NE Bushwick Avenue & Vanderveer Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3040500,,,40.68161005,-73.9039715,83,40325,POINT (-73.9039715 40.68161005),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=126,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363818,54,7,BKN04,BKN043,BKN,18
Queens,Long Island City-Hunters Point,Astoria Pug: Hunter's Point,46th Avenue and 5th Street,Astoria Pug,Year Round,Tuesday (Start Time: 9:00 AM - End Time:  12:00 PM),,https://www.instagram.com/astoriapug/?hl=en,402,26,4000103,,,40.74777,-73.95486,108,40760,POINT (-73.95486 40.74777),,,36,7,QW02,QW023,QW,59
Manhattan,Tribeca-Civic Center,SE Varick St. & Franklin St.,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,101,1,1003300,,,40.71904232,-74.00695324,1,40457,POINT (-74.00695324 40.71904232),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=230,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363922,66,10,MN01,MN013,MN,27
Bronx,Crotona Park East,Bronx River House / Starlight Park,1490 Sheridan Blvd,Bronx River Alliance,Year Round,Friday (Start Time: 9:00 AM - End Time:  11:00 AM),,www.bronxriver.org,209,17,2015700,,,40.83285272,-73.88308033,43,40259,POINT (-73.88308033 40.83285272),,,85,14,BX03,BX031,BX,32
Manhattan,East Harlem (South),SW E 109th Street & 1st Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,1017000,,,40.79160725,-73.9388486,23,40644,POINT (-73.9388486 40.79160725),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=392,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364084,68,13,MN11,MN111,MN,29
Manhattan,Upper West Side (Central),SW W 81 St & Central Park W,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,107,6,1016500,,,40.78193046,-73.97196532,20,40623,POINT (-73.97196532 40.78193046),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=366,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364058,67,12,MN07,MN072,MN,47
Brooklyn,Crown Heights (North),SW Schenectady Avenue & Lincoln Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,3035101,,,40.66977726,-73.93377151,77,40393,POINT (-73.93377151 40.66977726),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=182,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363874,43,9,BKN08,BKN083,BKN,20
Manhattan,Upper West Side-Lincoln Square,Tucker Square Thursday Greenmarket,66th St and Columbus Ave.,GrowNYC,Year Round,Thursday (Start Time: 8:00 AM - End Time:  11:00 AM),,grownyc.org/compost,107,6,1014900,,,40.773404,-73.981848,20,40612,POINT (-73.981848 40.773404),,,67,12,MN07,MN071,MN,47
Brooklyn,Greenpoint,North Brooklyn Compost,"Russell Street &, Nassau Ave, Brooklyn, NY 11222",North Brooklyn Compost,Year Round,Sunday (Start Time: 10:00 AM - End Time:  1:00 PM),,https://www.instagram.com/nbkcompost/?hl=en,301,33,3059100,,,40.724493,-73.94375,94,40755,POINT (-73.94375 40.724493),,,50,7,BKN01,BKN013,BKN,59
Brooklyn,Crown Heights (North),NW Albany Avenue & Bergen Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,3031100,,,40.67568845,-73.93871281,77,40380,POINT (-73.93871281 40.67568845),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=175,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363867,56,9,BKN08,BKN082,BKN,20
Brooklyn,Kensington,Kensington Food Scrap Drop-off,McDonald Ave & Albemarle Rd,GrowNYC,Year Round,Saturday (Start Time: 8:30 AM - End Time:  11:30 AM),"No meat, bones, or dairy.",grownyc.org/compost,312,39,3049600,,,40.64496,-73.98016,66,40773,POINT (-73.98016 40.64496),,,44,9,BKS12,BKS125,BKS,17
