Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point,App Android,App iOS, Assembly District, Congress District,DSNY District, DSNY Section,DSNY Zone,Senate District
Staten Island,Westerleigh-Castleton Corners,NW Houston Street & Willowbrook Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,50,5025100,,,40.62262016,-74.14456081,121,40424,POINT (-74.14456081 40.62262016),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=217,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363909,61,11,SI01,SI014,SI,24
Queens,Old Astoria-Hallets Point,SW 21st Street & 30th Drive,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,4007900,,,40.76833214,-73.92911855,114,40233,POINT (-73.92911855 40.76833214),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=130,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363822,36,14,QW01,QW013,QW,59
Manhattan,East Village,NW Ave A & E 3 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,103,2,1003200,,,40.72376127,-73.98540061,9,40492,POINT (-73.98540061 40.72376127),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=305,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363997,74,10,MN03,MN033,MN,27
Manhattan,Chelsea-Hudson Yards,SE 8 Ave & W 25 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,104,3,1009100,,,40.74644185,-73.99747697,10,40587,POINT (-73.99747697 40.74644185),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=329,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364021,75,12,MN04,MN042,MN,47
Manhattan,West Village,*LAST DAY DECEMBER 6* Christopher Park,"West 4th Street b/w Christopher St and Grove St., west side of Christopher Park",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesday (Start Time: 9:00 AM - End Time:  2:00 PM),,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,102,3,1007100,,,40.733536,-74.002663,6,40471,POINT (-74.002663 40.733536),,,66,10,MN02,MN021,MN,27
Bronx,Belmont,NE Bathgate Avenue & East 189th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,2038700,,,40.85865876,-73.88819441,48,40690,POINT (-73.88819441 40.85865876),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=433,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364125,78,15,BX06,BX061,BX,33
Manhattan,Midtown South-Flatiron-Union Square,NW Park Ave S/Union Square East & E 17 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,105,2,1005200,,,40.73674344,-73.98908567,13,40558,POINT (-73.98908567 40.73674344),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=289,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363981,74,12,MN05,MN051,MN,28
Manhattan,Hell's Kitchen,SE 43RD ST & 9TH AVE,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,104,3,1012101,,,40.7589304,-73.99201306,14,40555,POINT (-73.99201306 40.7589304),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=336,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364028,75,12,MN04,MN043,MN,47
Queens,Springfield Gardens (South)-Brookville,Garden of Resilience,"179-18 145th Dr, Jamaica, NY 11434",Volunteers at Garden of Resilience,Year Round,Saturday (Start Time: 9:00 AM - End Time:  1:00 PM),,http://www.laurelton.nyc/resilience,413,31,4032000,,,40.66392,-73.76626,105,40793,POINT (-73.76626 40.66392),,,31,5,QE13,QE138,QE,10
Manhattan,Chinatown-Two Bridges,NW Catherine St & Cherry St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,103,1,1000800,,,40.71026346,-73.99644857,5,40503,POINT (-73.99644857 40.71026346),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=237,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363929,65,10,MN03,MN031,MN,27
Bronx,Concourse-Concourse Village,BronxWorks Carolyn McLaughlin Community Center,1130 Grand Concourse,GrowNYC,Year Round,Thursday (Start Time: 10:00 AM - End Time:  1:00 PM),,grownyc.org/compost,204,16,2018102,,,40.83268,-73.918805,44,40671,POINT (-73.918805 40.83268),,,77,15,BX04,BX042,BX,32
Bronx,Concourse-Concourse Village,NW Morris Avenue & East 163rd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,16,2017300,,,40.82739892,-73.91744524,44,40661,POINT (-73.91744524 40.82739892),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=413,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364105,77,15,BX04,BX041,BX,32
Manhattan,Financial District-Battery Park City,Battery Park City North End Dog Run,Battery Park City North End Dog Run,Battery Park City Authority,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,https://bpca.ny.gov/nature-and-sustainability/sustainability/,101,1,1031703,1000030001,1000000,40.716483,-74.014855,1,40456,POINT (-74.014855 40.716483),,,61,10,MN01,MN011,MN,27
Brooklyn,Bedford-Stuyvesant (East),NE Throop Avenue & Madison Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3027700,,,40.68581223,-73.94146979,79,40291,POINT (-73.94146979 40.68581223),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=111,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363803,56,8,BKN03,BKN033,BKN,25
Manhattan,Upper East Side-Carnegie Hill,NW 3 Ave & E 95 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,108,5,1015801,,,40.78468357,-73.94989274,19,40529,POINT (-73.94989274 40.78468357),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=255,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363947,68,12,MN08,MN085,MN,28
Manhattan,Washington Heights (South),SW W 177 St & Audubon Ave,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,1026100,,,40.84610841,-73.93435451,33,40439,POINT (-73.93435451 40.84610841),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=377,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364069,72,13,MN12,MN122,MN,31
Brooklyn,Bay Ridge,Bay Ridge Greenmarket,3rd Ave & 95th Street,GrowNYC,Year Round,Saturday (Start Time: 8:00 AM - End Time:  12:30 PM),,grownyc.org/compost,310,47,3005400,,,40.6174,-74.033703,68,40718,POINT (-74.033703 40.6174),,,46,11,BKS10,BKS103,BKS,26
Manhattan,Harlem (North),134th Street Farm,118 W 134th St,Harlem Grown,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,www.harlemgrown.org/volunteer,110,9,1022600,,,40.81380167,-73.94286914,32,40602,POINT (-73.94286914 40.81380167),,,70,13,MN10,MN103,MN,30
Brooklyn,Prospect Heights,NW Vanderbilt Avenue & Plaza Street East,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,3020700,,,40.67550079,-73.96958336,77,40360,POINT (-73.96958336 40.67550079),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=161,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363853,52,10,BKN08,BKN081,BKN,20
Brooklyn,Bushwick (East),NW Central Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3041300,,,40.6907969,-73.91234536,83,40323,POINT (-73.91234536 40.6907969),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=123,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363815,54,7,BKN04,BKN043,BKN,18
Bronx,Pelham Bay-Country Club-City Island,NE City Island Avenue & Winter Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,2051601,,,40.84382558,-73.78518753,45,40265,POINT (-73.78518753 40.84382558),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=73,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363765,82,14,BX10,BX101,BX,34
Bronx,Bedford Park,Meg?s Community Garden at The James Baldwin Outdoor Learning Center Farmer?s Mark,"100 W Mosholu Pkwy S, The Bronx, NY 10468",Volunteers at James Baldwin Outdoor Learning Center,Spring - Fall,Saturday (Start Time: 10:00 AM - End Time:  3:00 PM),Site entrance is on the Goulden Ave side of campus,https://www.jamesbaldwinoutdoorlearningcenter.org/,207,11,2040900,,,40.88207,-73.88825,52,40703,POINT (-73.88825 40.88207),,,81,13,BX07,BX072,BX,33
